N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"67,700",500,-0.73%,100,"4,041,543","5,969,783",56.54,"14,513,227",18.49,8.69,
2,SK하이닉스,"98,600",200,-0.20%,"5,000","717,810","728,002",50.21,"1,236,201",25.01,4.25,
3,LG화학,"799,000","11,000",-1.36%,"5,000","564,033","70,592",42.33,"264,198",74.65,1.84,
4,삼성바이오로직스,"797,000","2,000",-0.25%,"2,500","527,335","66,165",10.05,"70,641",148.39,4.77,
5,삼성전자우,"62,000",200,+0.32%,100,"510,190","822,887",85.33,"2,134,000",16.93,N/A,
6,셀트리온,"351,000","17,000",+5.09%,"1,000","473,842","134,998",20.69,"2,126,366",93.03,11.19,
7,NAVER,"281,500","3,000",-1.05%,100,"462,401","164,263",55.93,"388,507",56.04,10.56,
8,현대차,"184,500","3,500",+1.93%,"5,000","394,218","213,668",31.07,"2,620,854",44.09,4.32,
9,삼성SDI,"541,000","10,000",-1.81%,"5,000","372,016","68,765",43.80,"250,995",184.58,2.94,
10,카카오,"369,500","3,500",-0.94%,500,"326,193","88,280",32.38,"255,019",-410.10,-5.81,
11,기아차,"58,900",200,+0.34%,"5,000","238,759","405,363",37.83,"1,641,305",27.37,6.50,
12,LG생활건강,"1,521,000","12,000",-0.78%,"5,000","237,553","15,618",45.68,"13,750",34.08,20.32,
13,현대모비스,"247,500","1,000",-0.40%,"5,000","235,260","95,055",43.48,"213,193",15.09,7.28,
14,삼성물산,"121,500","1,000",-0.82%,100,"227,068","186,887",14.40,"326,124",20.36,4.77,
15,POSCO,"237,500","2,000",-0.84%,"5,000","207,069","87,187",50.99,"168,855",21.76,4.18,
16,KB금융,"47,000",950,-1.98%,"5,000","195,430","415,808",66.30,"936,390",6.15,8.92,
17,SK텔레콤,"236,000","1,000",+0.43%,500,"190,560","80,746",34.06,"210,354",17.38,3.92,
18,엔씨소프트,"815,000","7,000",-0.85%,500,"178,925","21,954",48.18,"34,461",31.89,14.72,
19,신한지주,"33,400",650,-1.91%,"5,000","172,520","516,527",57.97,"1,524,874",5.02,9.09,
20,SK이노베이션,"178,500","1,000",-0.56%,"5,000","165,051","92,466",24.03,"845,228",-6.79,-0.20,
21,SK,"216,500","3,500",-1.59%,200,"152,330","70,360",21.77,"146,635",913.50,4.31,
22,SK바이오팜,"185,500","3,000",-1.59%,500,"145,271","78,313",3.52,"604,514",-168.64,-313.66,
23,삼성생명,"72,300","1,700",-2.30%,500,"144,600","200,000",12.25,"582,398",16.08,3.26,
24,LG전자,"86,500","1,300",-1.48%,"5,000","141,555","163,648",35.85,"447,129",18.79,0.22,
25,한국전력,"21,650",250,-1.14%,"5,000","138,985","641,964",16.83,"2,029,342",150.35,-3.42,
26,삼성에스디에스,"174,500","1,500",-0.85%,500,"135,024","77,378",12.33,"79,262",25.76,11.76,
27,LG,"72,600","2,600",-3.46%,"5,000","125,276","172,557",34.90,"397,995",10.26,5.87,
28,삼성전기,"157,500","1,000",-0.63%,"5,000","117,643","74,694",34.63,"464,358",32.27,10.18,
29,KT&G,"83,800",600,-0.71%,"5,000","115,051","137,292",41.21,"327,763",11.69,12.39,
30,넷마블,"125,500","3,000",-2.33%,100,"107,735","85,844",22.59,"217,772",50.83,3.54,
31,아모레퍼시픽,"182,000","1,500",-0.82%,500,"106,394","58,458",31.57,"170,853",292.60,5.36,
32,하나금융지주,"34,950",650,-1.83%,"5,000","104,935","300,242",64.98,"814,141",4.14,8.77,
33,롯데케미칼,"286,000","1,000",-0.35%,"5,000","98,028","34,275",26.95,"94,348",84.54,5.51,
34,삼성화재,"192,000","6,500",-3.27%,500,"90,960","47,375",45.12,"305,043",14.68,4.85,
35,한온시스템,"15,450",50,-0.32%,100,"82,472","533,800",20.97,"891,563",58.75,14.98,
36,S-Oil,"70,000",500,-0.71%,"2,500","78,808","112,583",75.00,"321,855",-9.39,1.01,
37,한화솔루션,"48,050","1,300",-2.63%,"5,000","76,815","159,864",19.37,"2,711,945",-85.50,-4.02,
38,한국조선해양,"106,500","1,000",+0.95%,"5,000","75,373","70,773",16.04,"274,009",352.65,1.40,
39,우리금융지주,"10,150",50,-0.49%,"5,000","73,310","722,268",25.67,"873,116",5.36,N/A,
40,고려아연,"385,500","3,000",-0.77%,"5,000","72,744","18,870",23.94,"31,921",12.99,9.76,
41,기업은행,"9,530",90,-0.94%,"5,000","70,395","738,664",10.66,"1,300,688",4.56,7.36,
42,신풍제약,"130,000","1,500",+1.17%,500,"68,880","52,985",10.63,"717,846","3,611.11",0.80,
43,현대글로비스,"180,500","2,000",-1.10%,500,"67,688","37,500",36.03,"175,892",10.14,11.25,
44,빅히트,"179,000","1,000",+0.56%,500,"63,767","35,624",3.54,"100,581",N/A,56.47,
45,KT,"24,150",50,-0.21%,"5,000","63,058","261,112",43.92,"638,628",10.29,4.61,
46,미래에셋대우,"9,740",230,-2.31%,"5,000","62,854","645,316",14.52,"1,898,348",11.60,7.56,
47,KODEX 200,"35,050",170,-0.48%,0,"59,743","170,450",16.27,"8,160,426",N/A,N/A,
48,포스코케미칼,"92,000",300,+0.33%,500,"56,109","60,988",7.78,"517,402",196.16,11.57,
49,LG디스플레이,"15,550",200,-1.27%,"5,000","55,640","357,816",23.26,"1,420,420",-2.26,-22.35,
50,CJ제일제당,"366,000",500,-0.14%,"5,000","55,098","15,054",23.63,"30,554",7.60,3.16,
51,코웨이,"70,800",400,-0.56%,500,"52,250","73,800",60.75,"108,032",14.63,30.74,
52,LG유플러스,"11,950",200,-1.65%,"5,000","52,175","436,611",31.47,"1,905,472",6.58,6.30,
53,SK케미칼,"428,500","5,500",-1.27%,"5,000","50,312","11,741",15.93,"311,771",19.55,1.51,
54,강원랜드,"22,950",250,-1.08%,500,"49,099","213,940",23.20,"572,644",-25.84,9.16,
55,오리온,"120,500","1,500",+1.26%,500,"47,641","39,536",42.22,"69,158",17.40,14.24,
56,한미사이언스,"69,800","4,100",+6.24%,500,"46,076","66,011",1.94,"1,171,444",311.61,4.73,
57,대한항공,"25,900",550,+2.17%,"5,000","45,120","174,210",12.03,"2,738,993",-5.91,-22.09,
58,현대중공업지주,"285,500","2,500",-0.87%,"5,000","45,105","15,799",17.77,"32,425",-17.30,2.20,
59,한진칼,"75,000",300,+0.40%,"2,500","44,378","59,171",17.14,"190,799",-12.37,-17.56,
